Model Name,GPU Type,Num GPUs,Batch Size,Input Token Length,Output Token Length,Avg Prefill Time (s),Avg Decode Time (s)
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,128,32,0.3471523404121399,1.2702062010765076
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,128,64,0.024566066265106202,1.4500922083854675
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,128,64,0.025926864147186278,1.474053907394409
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,128,64,0.02811737060546875,1.4941134333610535
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,128,64,0.03130916357040405,1.5165836811065674
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,128,64,0.04606893062591553,1.5769376397132875
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,128,64,0.0876361608505249,1.7173117518424987
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,128,64,0.1754096508026123,2.056683254241943
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,128,64,0.3525708556175232,2.641721749305725
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,128,128,0.024593651294708252,2.9276747941970824
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,128,128,0.02579132318496704,2.9732831358909606
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,128,128,0.028189802169799806,3.0005317211151126
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,128,128,0.031064939498901368,3.0717842698097226
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,128,128,0.04535542726516724,3.204018783569336
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,128,128,0.08974933624267578,3.5266602873802184
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,128,128,0.17519407272338866,4.2425360679626465
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,128,128,0.3587261438369751,5.566740572452545
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,128,256,0.02464315891265869,5.89519544839859
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,128,256,0.02580181360244751,5.986300373077393
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,128,256,0.028180062770843506,6.0559726595878605
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,128,256,0.031137657165527344,6.222838604450225
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,128,256,0.04466980695724487,6.556601786613465
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,128,256,0.09052493572235107,7.309370386600494
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,128,256,0.17826555967330932,8.96199163198471
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,128,256,0.3591495633125305,12.155943632125854
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,128,512,0.02467080354690552,11.855497801303864
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,128,512,0.02587698698043823,12.055703246593474
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,128,512,0.028150999546051027,12.250238108634948
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,128,512,0.03107403516769409,12.704937541484831
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,128,512,0.045728516578674314,13.579214036464691
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,128,512,0.0900118112564087,15.520437383651734
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,128,512,0.17971718311309814,19.74419786930084
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,128,512,0.361855149269104,31.114342617988587
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,256,4,0.02507903575897217,0.07004615068435668
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,256,4,0.026401221752166748,0.07139580249786377
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,256,4,0.028992319107055665,0.07244281768798827
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,256,4,0.0329338550567627,0.074273419380188
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,256,4,0.06429870128631592,0.07781072854995728
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,256,4,0.12766393423080444,0.0870461106300354
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,256,4,0.2548310041427612,0.10725177526474
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,256,4,0.510653841495514,0.14285567998886106
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,256,8,0.025095021724700926,0.16184546947479247
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,256,8,0.02652919292449951,0.16464195251464844
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,256,8,0.028964662551879884,0.16696895360946656
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,256,8,0.03249748945236206,0.1720953106880188
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,256,8,0.06418023109436036,0.1814299464225769
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,256,8,0.1278676748275757,0.20182030200958254
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,256,8,0.25560245513916013,0.24583361148834226
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,256,8,0.509021258354187,0.33936253786087034
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,256,16,0.025034773349761962,0.3464584469795227
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,256,16,0.026850879192352295,0.3530306577682495
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,256,16,0.029017877578735352,0.3572947263717651
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,256,16,0.032677435874938966,0.36773477792739867
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,256,16,0.06443531513214111,0.3865659832954407
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,256,16,0.12854011058807374,0.4307101368904113
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,256,16,0.25600342750549315,0.5266652941703795
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,256,16,0.5104156732559204,0.7130739212036132
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,256,32,0.025086474418640137,0.7161336898803712
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,256,32,0.02664273977279663,0.7279004573822021
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,256,32,0.02899850606918335,0.7379575371742249
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,256,32,0.03226125240325928,0.7591560363769532
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,256,32,0.06381148099899292,0.7990242838859558
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,256,32,0.12748738527297973,0.9021347522735595
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,256,32,0.25594563484191896,1.106989896297455
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,256,32,0.5116406559944153,1.499968385696411
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,256,64,0.02511025667190552,1.456075668334961
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,256,64,0.026439404487609862,1.478710389137268
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,256,64,0.029053449630737305,1.5001781702041626
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,256,64,0.03269039392471314,1.5443345308303833
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,256,64,0.06403957605361939,1.6287832617759703
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,256,64,0.12761186361312865,1.8229820609092713
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,256,64,0.2555591344833374,2.2695627212524414
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,256,64,0.5105960249900818,3.1012210965156557
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,256,128,0.025167322158813475,2.9383135199546815
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,256,128,0.026512646675109865,2.9833024978637694
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,256,128,0.029186451435089113,3.0291571974754334
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,256,128,0.03322335481643677,3.1362409830093383
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,256,128,0.06391795873641967,3.3113876223564147
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,256,128,0.12787503004074097,3.740980350971222
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,256,128,0.25516501665115354,4.670045721530915
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,256,128,0.5097604870796204,6.455772066116333
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,256,256,0.02540360689163208,5.9102069497108465
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,256,256,0.026488947868347167,6.004489862918854
