Number of Clusters Searched,Sample nProbe,nProbe,Monolithic NDCG,Split NDCG,Cluster NDCG,Monolithic Recall,Split Recall,Cluster Recall
5,2,128,0.8635789844221353,0.5742676460262977,0.8988473511103183,0.8125,0.4625,0.85625
5,2,256,0.9308758554070701,0.6153816601662825,0.9301411131322543,0.9,0.50625,0.9
5,4,128,0.8635789844221353,0.5742676460262977,0.9041467293177187,0.8125,0.4625,0.8625
5,4,256,0.9308758554070701,0.6153816601662825,0.9349760140793307,0.9,0.50625,0.90625
5,8,16,0.9308758554070701,0.4253822721094612,0.6766252536665368,0.9,0.3375,0.59375
5,8,32,0.9308758554070701,0.4811514393145712,0.7457305324554132,0.9,0.3875,0.675
5,8,64,0.9308758554070701,0.5143354011245265,0.8259808369034916,0.9,0.4125,0.7625
5,8,128,0.8972274199146026,0.5742676460262977,0.9000465706454579,0.85625,0.4625,0.85625
5,8,256,0.9308758554070701,0.6153816601662825,0.9267756967348094,0.9,0.50625,0.89375
5,16,128,0.8635789844221353,0.5742676460262977,0.9087113652503032,0.8125,0.4625,0.86875
5,16,256,0.9308758554070701,0.6153816601662825,0.9395406500119153,0.9,0.50625,0.9125
5,32,128,0.8635789844221353,0.5742676460262977,0.9087113652503032,0.8125,0.4625,0.86875
5,32,256,0.9308758554070701,0.6153816601662825,0.9477409673564366,0.9,0.50625,0.925
5,64,128,0.8635789844221353,0.5742676460262977,0.9087113652503032,0.8125,0.4625,0.86875
5,64,256,0.9308758554070701,0.6153816601662825,0.9477409673564366,0.9,0.50625,0.925
5,128,128,0.8635789844221353,0.5742676460262977,0.9087113652503032,0.8125,0.4625,0.86875
5,128,256,0.9308758554070701,0.6153816601662825,0.9477409673564366,0.9,0.50625,0.925
5,256,256,0.9308758554070701,0.6153816601662825,0.9482054446167606,0.9,0.50625,0.925
6,1,128,0.8635789844221353,0.6429141867702681,0.8716975097825791,0.8125,0.54375,0.83125
6,1,256,0.9308758554070701,0.6828289813751134,0.9070914304767758,0.9,0.5875,0.88125
6,2,128,0.8635789844221353,0.6429141867702681,0.8988473511103183,0.8125,0.54375,0.85625
6,2,256,0.9308758554070701,0.6828289813751134,0.9342412718045151,0.9,0.5875,0.90625
6,4,128,0.8635789844221353,0.6429141867702681,0.9041467293177187,0.8125,0.54375,0.8625
6,4,256,0.9308758554070701,0.6828289813751134,0.9354404913396547,0.9,0.5875,0.90625
6,8,16,0.9308758554070701,0.4895459689049247,0.6766252536665368,0.9,0.4,0.59375
6,8,32,0.9308758554070701,0.5453151361100347,0.7502951683879977,0.9,0.45,0.68125
6,8,64,0.9308758554070701,0.5823289915777589,0.8346456315083368,0.9,0.4875,0.775
