Frequency,Cluster ID,Batch Size,nprobe,Retrieved Docs,Num Threads,Avg Retrieval Latency (s)
800,6,4,128,5,32,0.18224868297576904
800,6,8,128,5,32,0.18952548384666443
800,6,16,128,5,32,0.19608673095703125
800,6,24,128,5,32,0.2011756980419159
800,6,32,128,5,32,0.20388161420822143
800,6,40,128,5,32,0.3587269997596741
800,6,48,128,5,32,0.370349828004837
800,6,56,128,5,32,0.3753962290287018
800,6,64,128,5,32,0.3801800274848938
800,6,72,128,5,32,0.52869096159935
800,6,80,128,5,32,0.5419531571865082
800,6,88,128,5,32,0.5482157528400421
800,6,96,128,5,32,0.5540315079689025
800,6,104,128,5,32,0.695009527206421
800,6,112,128,5,32,0.7104832780361175
800,6,120,128,5,32,0.7197952437400817
800,6,128,128,5,32,0.7245430231094361
800,6,136,128,5,32,0.8656002700328826
800,6,144,128,5,32,0.880136913061142
800,6,152,128,5,32,0.88772043466568
800,6,160,128,5,32,0.896133440732956
800,7,1,128,5,32,0.17178864717483522
800,7,2,128,5,32,0.17979224801063537
800,7,4,128,5,32,0.18974160075187682
800,7,8,128,5,32,0.19858267068862914
800,7,16,128,5,32,0.20585349202156067
800,7,24,128,5,32,0.21138201594352724
800,7,32,128,5,32,0.21470356702804566
800,7,40,128,5,32,0.37807701706886293
800,7,48,128,5,32,0.3894872283935547
800,7,56,128,5,32,0.39477395176887514
800,7,64,128,5,32,0.4003941333293915
800,7,72,128,5,32,0.5564539480209351
800,7,80,128,5,32,0.567660973072052
800,7,88,128,5,32,0.5771654570102691
800,7,96,128,5,32,0.5827781569957733
800,7,104,128,5,32,0.7342637836933136
800,7,112,128,5,32,0.7494847977161407
800,7,120,128,5,32,0.7579390060901642
800,7,128,128,5,32,0.7643365979194641
800,7,136,128,5,32,0.9116597259044648
800,7,144,128,5,32,0.9248783421516419
800,7,152,128,5,32,0.9381029212474823
800,7,160,128,5,32,0.943956435918808
800,8,1,128,5,32,0.18039828181266784
800,8,2,128,5,32,0.18928955554962157
800,8,4,128,5,32,0.19887810349464416
800,8,8,128,5,32,0.20616762042045594
800,8,16,128,5,32,0.21372049450874328
800,8,24,128,5,32,0.2188344407081604
800,8,32,128,5,32,0.2221053099632263
800,8,40,128,5,32,0.39505559802055357
800,8,48,128,5,32,0.405375611782074
800,8,56,128,5,32,0.41091216444969175
800,8,64,128,5,32,0.41628244042396545
800,8,72,128,5,32,0.5831677401065827
800,8,80,128,5,32,0.5932090103626251
800,8,88,128,5,32,0.6009725558757782
800,8,96,128,5,32,0.6073198318481445
800,8,104,128,5,32,0.7698854386806488
800,8,112,128,5,32,0.7836273550987244
800,8,120,128,5,32,0.7936823463439941
800,8,128,128,5,32,0.7958507776260376
800,8,136,128,5,32,0.9561040091514588
800,8,144,128,5,32,0.970700124502182
800,8,152,128,5,32,0.9788905799388885
800,8,160,128,5,32,0.9860754489898682
800,9,1,128,5,32,0.16210610032081604
800,9,2,128,5,32,0.1693909275531769
800,9,4,128,5,32,0.17848917841911316
800,9,8,128,5,32,0.18695942521095277
800,9,16,128,5,32,0.1920917022228241
